TABELA: DB2DPR.TRM
TS....: S1DPR001
========================================================================
:Todos os termos Natureza
BANCO VINTE E QUATRO HORAS    BVQH |N
BANDA MAGNETICA DO CHEQUE     BMC  |N
BANK IDENTIFIER CODE          BIC  |N
BANNER                        BNNR |N
BANQUEIRO                     BANQ |N
BARRA                         BRRA |N
BASE                          BASE |N
BASIC IDENTIFIER NUMBER       BIN  |N
BASICO                        BASC |N
BATCH                         BCH  |N
BAU DE CAIXA                  BACX |N
BB                                 |N
BB CODE                       BBCD |N
BBBI                          BBBI |N
BBDTVM                        DTVM |N
BBNET                         BBNT |N
BBTUR                         BBTR |N
BEBIDA                        BBD  |N
BEM                           BEM  |N
BEM FUNGIVEL                  BEMF |N
BEM NAO DE USO                BNUS |N
BENCHMARK                     BCM  |N
BENCHMARKING                  BCMK |N
BENEFICIADO                   BNFD |N
BENEFICIAMENTO                BNFT |N
BENEFICIAR                    BNFR |N
BENEFICIARIO                  BNFC |N
BENEFICIO                     BNF  |N
BENFEITORIA                   BFT  |N
BIBLIOTECA                    BBL  |N
BID                                |N
BIENIO                        BINO |N
BILATERAL                     BLTL |N
BILHETE                       BLH  |N
BIMESTRE                      BIM  |N
BIN                                |N
BINARIO                       BINR |N
BIND                          BIND |N
BIOMETRIA                     BMTA |N
BIOMETRICO                    BMTC |N
BIP                           BIP  |N
BIT                           BIT  |N
BITOLA                        BTLA |N
BLINDAGEM                     BLD  |N
BLOB                          BL   |S <-- NATUREZA
BLOCO                         BLOC |N
BLOQUEADO                     BLQD |N
BLOQUEAR                      BLQR |N
BLOQUEIO                      BLQ  |N
BLOQUETO                      BQT  |N
BMF                                |N
BNDES                         BNDE |N
BOLETA                        BLT  |N
BOLETIM                       BLTM |N
BOLETO                             |N
BOLETO ELETRONICO DE CAMBIO   BEC  |N
BOLSA                         BLS  |N
BOLSA DE ESTUDO               BLSE |N
BOLSA DE MERCADORIAS E FUTUROSBMF  |N
BONIFICACAO                   BONC |N
BONUS                         BON  |N
BOOK                          BOOK |N
BORDERO                       BRDO |N
BOVINOCULTURA                 BOVC |N
BPS                           BPS  |N
BRANCH CODE                   BRCD |N
BRASIL                        BR   |N
BRASILEIRO                    BRL  |N
BRASILIA                      BSB  |N
BRINDE                        BRN  |N
BROWSER                       BRWS |N
BRUTO                         BRTO |N
BUCKET                        BCKT |N
BUEIRO                        BIR  |N
BUFFER POOL                   BFPO |N
BUG                           BUG  |N
